insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('Y150-J06436', 'Collen', 'Shea', 'General Surgeon', 't-GSU', 'YF-1241089-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('K110-K19423', 'Goraud', 'Cleynman', 'Orthopaedic Surgeon', 't-ORS', 'YB-7153224-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('H481-B96930', 'Vladimir', 'Willoughby', 'General Surgeon', 't-GSU', 'JI-5130298-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('X450-P17693', 'Antoine', 'Reely', 'Plastic Surgeon', 't-PLS', 'JQ-7630249-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('U436-O64875', 'Kym', 'Pobjoy', 'General Surgeon', 't-GSU', 'DL-8990075-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('I386-C71325', 'Eldin', 'Halleday', 'Critical Care Surgeon', 't-CCS', 'FG-0193024-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('X711-X57232', 'Mildrid', 'Coomes', 'Paediatric Surgeon', 't-PAS', 'MM-1941032-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('D537-W59605', 'Reuben', 'Leftridge', 'Critical Care Surgeon', 't-CCS', 'HU-9951257-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('L674-Q96325', 'Clio', 'Sage', 'Plastic Surgeon', 't-PLS', 'ZN-2149004-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('M643-D53131', 'Jacintha', 'Conen', 'General Surgeon', 't-GSU', 'JF-6771025-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('K810-V64027', 'Galvin', 'O''Nions', 'General Surgeon', 't-GSU', 'GU-8465310-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('U338-L34576', 'Belicia', 'Collingham', 'General Surgeon', 't-GSU', 'NG-2082826-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('Y158-Z83748', 'Megan', 'Shawel', 'Colon and Rectal Surgeon', 't-CRS', 'WP-7796582-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('T855-H40091', 'Augustus', 'Belvard', 'Critical Care Surgeon', 't-CCS', 'BG-3180617-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('C561-Y43439', 'Jarred', 'Montes', 'Neurosurgeon', 't-NEU', 'LY-5627572-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('O674-K42302', 'Janelle', 'Waything', 'Paediatric Surgeon', 't-PAS', 'MP-3601581-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('M199-R09232', 'Zebulen', 'Hurche', 'General Surgeon', 't-GSU', 'NM-6956915-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('X671-V01096', 'Herbert', 'Laming', 'General Surgeon', 't-GSU', 'AB-5196706-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('J800-C61052', 'Alfreda', 'McGhee', 'Critical Care Surgeon', 't-CCS', 'YB-7222613-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('A060-W04320', 'Fancy', 'Glentworth', 'General Surgeon', 't-GSU', 'QM-7196068-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('H660-G30316', 'Brina', 'Lorente', 'Otolaryngologist Surgeon', 't-OTS', 'FW-7176272-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('T083-G19027', 'Evie', 'Cayton', 'Colon and Rectal Surgeon', 't-CRS', 'DM-5585138-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('W881-M72073', 'Randie', 'Keetley', 'Orthopaedic Surgeon', 't-ORS', 'HD-4758925-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('L636-C89943', 'Vania', 'Wrigglesworth', 'Paediatric Surgeon', 't-PAS', 'AA-2645252-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('L612-E64020', 'Sammy', 'Cosens', 'Neurosurgeon', 't-NEU', 'YI-6011242-AU');
insert into surgeon (surgeonID, surgeonForename, surgeonSurname, surgeonType, surgeonTypeCode, surgeonRegistration) values ('S702-U88021', 'Chilton', 'Grasha', 'Paediatric Surgeon', 't-PAS', 'TA-0998333-AU');
